Модуль;Деталь;Длина, мм;Ширина, мм;Толщина, мм;Материал;Кол-во
BINSTACK;Бок левый;390;240;12;фанера берёза 12;2
BINSTACK;Дно;396;212;12;фанера берёза 12;1
BINSTACK;Задник;396;370;6;ХДФ 6;1
BINSTACK;Полка верхняя;396;122;12;фанера берёза 12;1
BINSTACK;Лоток 1 — дно;396;205;12;фанера берёза 12;3
BINSTACK;Лоток 1 — бортик;396;48;12;фанера берёза 12;3
BINSTACK;Перегородка 1.1;200;125;6;ХДФ 6;6
BINSTACK;Планка 1;340;10;2;PETG (печать);3
